bizOrderDetailId,prdOApyDetId,bizOrderDetailBizOrderId
1f1b70c68e6e4de0acf2f7cae5d84935,b58295dcf84c41d2a641bdc7656ff30c,f58d95c04ff4441caf2f42100709abc5
3cafaafa9a714f7cb0140cc561fb2e1d,b6485aec4fb74419b505ca8b7287cbae,ba38b57f3fc24d1785186e093df85910
b9c0429bb2074ee69ec6f931cec61f55,00adcbffb01f4b12a03070f71e77598b,b9f4af3ca97e40fda1c88e86bc3e2acb
500ac7f4c3414601a373b6d34a6d3204,b9753e50887742b59bdaf854930231dc,ce57af46257642d99f386baab2cbb54a
3cafaafa9a714f7cb0140cc561fb2e1d,4ca316fb973e4330a6f3620d4713f886,ba38b57f3fc24d1785186e093df85910
9c078faa03db4a55a413df4e8f044585,ce60abe4262e4bd19b62b590b09f2c36,c049c4e1aed44eacbb88c5b47a23d23a
3a6baa711a65435e98e4559f340c0d31,45fe032417a64137b22078532d09ff4b,be95c57d8aeb48cb8cbe1f335cd71701
906e9df78532412a848428bf2b6bf26b,256a3ea43042451ba062a76d268e078f,053e439b96a74fbbb9c817712688b8ce
14cf77dc8fe94f42963adcce1f6d041c,6944feb7e5dd4b42a6ab22c866534ad8,594c7cb8e72548048326263c4600e6d8
20648827f09f4305a725503e6c1073da,fd02b8e4a6774ce781079312d9fdb769,a6f28cb682e849ff832cf383b7a4e520
9102a616a7374ccab490abd6fb6aad67,645cfd5d7b4846f696b6dc56362c2b34,4326f5b2d3a641f987b5fe1b6d9a6c1d
cb8fefd6642749ffac0ab3e20a843848,a7f199bb423e4773b5fe962547abaf1d,9cf69a3f1b9c4f3b95618f500d9ac450
500ac7f4c3414601a373b6d34a6d3204,76a0b510b78f4514a8fc3a0f42583dc0,ce57af46257642d99f386baab2cbb54a
320ae35ceb5a47548a24e76958236fff,a2f37f9b281a494daf43c579395979fa,f623822e1b34447db2d58d8d2b1ff299
89c1fb7b47dd428a932bb630a5aa3769,84d51d6e0a974bb79bf7dd60d573e95c,e1e70d2e13bd47799df923fcc8d019f4
2d1b36fcef0a4e5bb52302b358108658,251f525f1ec94cc68ea7528d118acfa0,1d5153ac30bd41b0a8128b90e371e4bc
2a79f8172b6f413aad490a8eb16df29e,d7483ba7e0b04b2ea843694c39caacdf,0403398cfae446f3a69daa0c1e980379
84330cc0833a450e84f538095cdf2be0,91413309337442e1ad37f79ca4c5b5f5,32d908177b8444cc83a803f22712be47
85835944d90349198f81066c5bb071c0,be003ab694614602be4162d6b815dc6c,30b6c09dcb2f47bb85f765be8e466c7b
f60573b55b124c8ea0bafe896ffed7c6,c97dae10c0c04d858af76f70cfacc0f8,6d5a911aef85449c9ad42405b1b065f1
802b2196e3654f3a81c0b705effe5fa3,d272b25550694a25972eda2d77e67544,4ad0389564af40159af150193cbb0507
352d90d1f9894e9d90a8f0cce79dc600,bdafcd419a034508ada8cd007d63d559,7ad2bfec4ae24ef79b969900f053b551
